Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,0.0
Japan,MorningMint,Feb2024,0.0
Japan,MorningMint,Mar2024,0.0
Japan,MorningMint,Apr2024,0.0
Japan,MorningMint,May2024,0.0
Japan,MorningMint,Jun2024,0.0
Japan,MorningMint,Jul2024,0.0
Japan,MorningMint,Aug2024,0.0
Japan,MorningMint,Sep2024,0.0
Japan,MorningMint,Oct2024,0.0
Japan,MorningMint,Nov2024,0.0
Japan,MorningMint,Dec2024,0.0
Japan,FreshStart Toothpaste,Jan2024,1403.62
Japan,FreshStart Toothpaste,Feb2024,1403.62
Japan,FreshStart Toothpaste,Mar2024,1403.62
Japan,FreshStart Toothpaste,Apr2024,1403.62
Japan,FreshStart Toothpaste,May2024,1403.62
Japan,FreshStart Toothpaste,Jun2024,1403.62
Japan,FreshStart Toothpaste,Jul2024,1403.62
Japan,FreshStart Toothpaste,Aug2024,1403.62
Japan,FreshStart Toothpaste,Sep2024,1403.62
Japan,FreshStart Toothpaste,Oct2024,1403.62
Japan,FreshStart Toothpaste,Nov2024,1403.62
Japan,FreshStart Toothpaste,Dec2024,1403.62
Japan,SmileShield Whitening Strips,Jan2024,0.0
Japan,SmileShield Whitening Strips,Feb2024,0.0
Japan,SmileShield Whitening Strips,Mar2024,0.0
Japan,SmileShield Whitening Strips,Apr2024,0.0
Japan,SmileShield Whitening Strips,May2024,0.0
Japan,SmileShield Whitening Strips,Jun2024,0.0
Japan,SmileShield Whitening Strips,Jul2024,0.0
Japan,SmileShield Whitening Strips,Aug2024,0.0
Japan,SmileShield Whitening Strips,Sep2024,0.0
Japan,SmileShield Whitening Strips,Oct2024,0.0
Japan,SmileShield Whitening Strips,Nov2024,0.0
Japan,SmileShield Whitening Strips,Dec2024,0.0
Japan,BriteBite Toothbrush,Jan2024,832.03
Japan,BriteBite Toothbrush,Feb2024,832.03
Japan,BriteBite Toothbrush,Mar2024,832.03
Japan,BriteBite Toothbrush,Apr2024,832.03
Japan,BriteBite Toothbrush,May2024,832.03
