Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,405.9558721389137
Japan,MorningMint,Feb2024,407.6412807217471
Japan,MorningMint,Mar2024,409.3266893045805
Japan,MorningMint,Apr2024,411.012097887414
Japan,MorningMint,May2024,412.6975064702474
Japan,MorningMint,Jun2024,414.3829150530808
Japan,MorningMint,Jul2024,416.0683236359142
Japan,MorningMint,Aug2024,417.7537322187477
Japan,MorningMint,Sep2024,419.4391408015811
Japan,MorningMint,Oct2024,421.12454938441454
Japan,MorningMint,Nov2024,422.80995796724795
Japan,MorningMint,Dec2024,424.4953665500814
Japan,FreshStart Toothpaste,Jan2024,1044.2909785693266
Japan,FreshStart Toothpaste,Feb2024,1048.6297288134167
Japan,FreshStart Toothpaste,Mar2024,1052.968479057507
Japan,FreshStart Toothpaste,Apr2024,1057.307229301597
Japan,FreshStart Toothpaste,May2024,1061.6459795456872
Japan,FreshStart Toothpaste,Jun2024,1065.9847297897775
Japan,FreshStart Toothpaste,Jul2024,1070.3234800338678
Japan,FreshStart Toothpaste,Aug2024,1074.6622302779579
Japan,FreshStart Toothpaste,Sep2024,1079.000980522048
Japan,FreshStart Toothpaste,Oct2024,1083.3397307661382
Japan,FreshStart Toothpaste,Nov2024,1087.6784810102283
Japan,FreshStart Toothpaste,Dec2024,1092.0172312543184
Japan,SmileShield Whitening Strips,Jan2024,-0.004512570185295828
Japan,SmileShield Whitening Strips,Feb2024,-0.004444967142906875
Japan,SmileShield Whitening Strips,Mar2024,-0.004377364100496606
Japan,SmileShield Whitening Strips,Apr2024,-0.004309761058121864
Japan,SmileShield Whitening Strips,May2024,-0.0042421580157187
Japan,SmileShield Whitening Strips,Jun2024,-0.004174554973329747
Japan,SmileShield Whitening Strips,Jul2024,-0.004106951930940794
Japan,SmileShield Whitening Strips,Aug2024,-0.004039348888544736
Japan,SmileShield Whitening Strips,Sep2024,-0.003971745846155783
Japan,SmileShield Whitening Strips,Oct2024,-0.0039041428037597248
Japan,SmileShield Whitening Strips,Nov2024,-0.0038365397613636665
Japan,SmileShield Whitening Strips,Dec2024,-0.0037689367189747136
Japan,BriteBite Toothbrush,Jan2024,979.7547011185571
Japan,BriteBite Toothbrush,Feb2024,983.8102607237865
Japan,BriteBite Toothbrush,Mar2024,987.8658203290162
Japan,BriteBite Toothbrush,Apr2024,991.9213799342457
Japan,BriteBite Toothbrush,May2024,995.9769395394752
Japan,BriteBite Toothbrush,Jun2024,1000.0324991447047
Japan,BriteBite Toothbrush,Jul2024,1004.0880587499342
Japan,BriteBite Toothbrush,Aug2024,1008.1436183551637
Japan,BriteBite Toothbrush,Sep2024,1012.1991779603932
Japan,BriteBite Toothbrush,Oct2024,1016.2547375656228
Japan,BriteBite Toothbrush,Nov2024,1020.3102971708521
Japan,BriteBite Toothbrush,Dec2024,1024.3658567760817
Japan,LuminousLip Care,Jan2024,442.73536106278044
Japan,LuminousLip Care,Feb2024,444.5580054048459
Japan,LuminousLip Care,Mar2024,446.38064974691133
Japan,LuminousLip Care,Apr2024,448.20329408897675
Japan,LuminousLip Care,May2024,450.02593843104205
Japan,LuminousLip Care,Jun2024,451.8485827731076
Japan,LuminousLip Care,Jul2024,453.67122711517294
Japan,LuminousLip Care,Aug2024,455.49387145723836
Japan,LuminousLip Care,Sep2024,457.3165157993038
Japan,LuminousLip Care,Oct2024,459.13916014136925
Japan,LuminousLip Care,Nov2024,460.96180448343466
Japan,LuminousLip Care,Dec2024,462.7844488255
Japan,CleanSlate Mouthwash,Jan2024,-0.005116138597042741
Japan,CleanSlate Mouthwash,Feb2024,-0.005125935786416291
Japan,CleanSlate Mouthwash,Mar2024,-0.005135732975802276
Japan,CleanSlate Mouthwash,Apr2024,-0.00514553016517405
Japan,CleanSlate Mouthwash,May2024,-0.005155327354554706
Japan,CleanSlate Mouthwash,Jun2024,-0.005165124543922928
Japan,CleanSlate Mouthwash,Jul2024,-0.0051749217332982544
Japan,CleanSlate Mouthwash,Aug2024,-0.005184718922681575
Japan,CleanSlate Mouthwash,Sep2024,-0.005194516112059566
Japan,CleanSlate Mouthwash,Oct2024,-0.005204313301435781
Japan,CleanSlate Mouthwash,Nov2024,-0.0052141104908084435
Japan,CleanSlate Mouthwash,Dec2024,-0.005223907680197093
Japan,OralEase Gel,Jan2024,1947.1423559556606
Japan,OralEase Gel,Feb2024,1955.19476217405
Japan,OralEase Gel,Mar2024,1963.2471683924396
Japan,OralEase Gel,Apr2024,1971.2995746108286
Japan,OralEase Gel,May2024,1979.3519808292178
Japan,OralEase Gel,Jun2024,1987.4043870476073
Japan,OralEase Gel,Jul2024,1995.4567932659966
Japan,OralEase Gel,Aug2024,2003.5091994843858
Japan,OralEase Gel,Sep2024,2011.5616057027753
Japan,OralEase Gel,Oct2024,2019.6140119211645
Japan,OralEase Gel,Nov2024,2027.6664181395538
Japan,OralEase Gel,Dec2024,2035.7188243579435
Japan,BreathBliss Mints,Jan2024,3.298486684011744
Japan,BreathBliss Mints,Feb2024,3.310852795628071
Japan,BreathBliss Mints,Mar2024,3.323218907244405
Japan,BreathBliss Mints,Apr2024,3.3355850188607357
Japan,BreathBliss Mints,May2024,3.3479511304770697
Japan,BreathBliss Mints,Jun2024,3.360317242093393
Japan,BreathBliss Mints,Jul2024,3.372683353709738
Japan,BreathBliss Mints,Aug2024,3.3850494653260648
Japan,BreathBliss Mints,Sep2024,3.3974155769424024
Japan,BreathBliss Mints,Oct2024,3.4097816885587258
Japan,BreathBliss Mints,Nov2024,3.4221478001750563
Japan,BreathBliss Mints,Dec2024,3.4345139117913903
Japan,DentalDefense Toothpaste,Jan2024,994.2024801101802
Japan,DentalDefense Toothpaste,Feb2024,998.3114990142384
Japan,DentalDefense Toothpaste,Mar2024,1002.4205179182968
Japan,DentalDefense Toothpaste,Apr2024,1006.529536822355
Japan,DentalDefense Toothpaste,May2024,1010.6385557264133
Japan,DentalDefense Toothpaste,Jun2024,1014.7475746304716
Japan,DentalDefense Toothpaste,Jul2024,1018.8565935345299
Japan,DentalDefense Toothpaste,Aug2024,1022.9656124385883
Japan,DentalDefense Toothpaste,Sep2024,1027.0746313426466
Japan,DentalDefense Toothpaste,Oct2024,1031.1836502467047
Japan,DentalDefense Toothpaste,Nov2024,1035.292669150763
Japan,DentalDefense Toothpaste,Dec2024,1039.4016880548213
Japan,SparklingSmile Water Flosser,Jan2024,0.011906248871455607
Japan,SparklingSmile Water Flosser,Feb2024,0.012248500554501409
Japan,SparklingSmile Water Flosser,Mar2024,0.012590752237541882
Japan,SparklingSmile Water Flosser,Apr2024,0.012933003920588573
Japan,SparklingSmile Water Flosser,May2024,0.01327525560362194
Japan,SparklingSmile Water Flosser,Jun2024,0.01361750728664909
Japan,SparklingSmile Water Flosser,Jul2024,0.013959758969670024
Japan,SparklingSmile Water Flosser,Aug2024,0.014302010652711385
Japan,SparklingSmile Water Flosser,Sep2024,0.014644262335755411
Japan,SparklingSmile Water Flosser,Oct2024,0.014986514018758581
Japan,SparklingSmile Water Flosser,Nov2024,0.015328765701818594
Japan,SparklingSmile Water Flosser,Dec2024,0.015671017384841304
Japan,FreshFusion Mouth Rinse,Jan2024,477.58259041104316
Japan,FreshFusion Mouth Rinse,Feb2024,479.5672818549183
Japan,FreshFusion Mouth Rinse,Mar2024,481.55197329879337
Japan,FreshFusion Mouth Rinse,Apr2024,483.53666474266856
Japan,FreshFusion Mouth Rinse,May2024,485.5213561865436
Japan,FreshFusion Mouth Rinse,Jun2024,487.5060476304187
Japan,FreshFusion Mouth Rinse,Jul2024,489.49073907429386
Japan,FreshFusion Mouth Rinse,Aug2024,491.47543051816905
Japan,FreshFusion Mouth Rinse,Sep2024,493.46012196204424
Japan,FreshFusion Mouth Rinse,Oct2024,495.4448134059193
Japan,FreshFusion Mouth Rinse,Nov2024,497.4295048497944
Japan,FreshFusion Mouth Rinse,Dec2024,499.41419629366953
Japan,SmileSavvy Tooth Whitening Kit,Jan2024,0.029626159275455283
Japan,SmileSavvy Tooth Whitening Kit,Feb2024,0.02996104573548472
Japan,SmileSavvy Tooth Whitening Kit,Mar2024,0.030295932195514158
Japan,SmileSavvy Tooth Whitening Kit,Apr2024,0.030630818655532938
Japan,SmileSavvy Tooth Whitening Kit,May2024,0.0309657051155606
Japan,SmileSavvy Tooth Whitening Kit,Jun2024,0.03130059157558826
Japan,SmileSavvy Tooth Whitening Kit,Jul2024,0.0316354780356177
Japan,SmileSavvy Tooth Whitening Kit,Aug2024,0.031970364495638254
Japan,SmileSavvy Tooth Whitening Kit,Sep2024,0.03230525095566414
Japan,SmileSavvy Tooth Whitening Kit,Oct2024,0.032640137415693576
Japan,SmileSavvy Tooth Whitening Kit,Nov2024,0.03297502387571946
Japan,SmileSavvy Tooth Whitening Kit,Dec2024,0.03330991033574357
Japan,DailyDazzle Toothpaste,Jan2024,177.62141456483644
Japan,DailyDazzle Toothpaste,Feb2024,178.35766722534805
