Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,460.6171942216639
Japan,MorningMint,Feb2024,462.9071017809032
Japan,MorningMint,Mar2024,465.1970093401425
Japan,MorningMint,Apr2024,467.48691689938175
Japan,MorningMint,May2024,469.7768244586209
Japan,MorningMint,Jun2024,472.0667320178602
Japan,MorningMint,Jul2024,474.3566395770995
Japan,MorningMint,Aug2024,476.64654713633877
Japan,MorningMint,Sep2024,478.93645469557794
Japan,MorningMint,Oct2024,481.2263622548172
Japan,MorningMint,Nov2024,483.5162698140565
Japan,MorningMint,Dec2024,485.8061773732958
Japan,FreshStart Toothpaste,Jan2024,1274.0788171889697
Japan,FreshStart Toothpaste,Feb2024,1281.2531573039541
Japan,FreshStart Toothpaste,Mar2024,1288.4274974189386
Japan,FreshStart Toothpaste,Apr2024,1295.6018375339233
Japan,FreshStart Toothpaste,May2024,1302.7761776489078
Japan,FreshStart Toothpaste,Jun2024,1309.9505177638923
Japan,FreshStart Toothpaste,Jul2024,1317.1248578788768
Japan,FreshStart Toothpaste,Aug2024,1324.2991979938613
Japan,FreshStart Toothpaste,Sep2024,1331.473538108846
Japan,FreshStart Toothpaste,Oct2024,1338.6478782238305
Japan,FreshStart Toothpaste,Nov2024,1345.822218338815
Japan,FreshStart Toothpaste,Dec2024,1352.9965584537995
Japan,SmileShield Whitening Strips,Jan2024,0.0
Japan,SmileShield Whitening Strips,Feb2024,0.0
Japan,SmileShield Whitening Strips,Mar2024,0.0
Japan,SmileShield Whitening Strips,Apr2024,0.0
Japan,SmileShield Whitening Strips,May2024,0.0
Japan,SmileShield Whitening Strips,Jun2024,0.0
Japan,SmileShield Whitening Strips,Jul2024,0.0
Japan,SmileShield Whitening Strips,Aug2024,0.0
Japan,SmileShield Whitening Strips,Sep2024,0.0
Japan,SmileShield Whitening Strips,Oct2024,0.0
Japan,SmileShield Whitening Strips,Nov2024,0.0
Japan,SmileShield Whitening Strips,Dec2024,0.0
Japan,BriteBite Toothbrush,Jan2024,1097.807237134698
Japan,BriteBite Toothbrush,Feb2024,1103.2868960874064
Japan,BriteBite Toothbrush,Mar2024,1108.7665550401148
Japan,BriteBite Toothbrush,Apr2024,1114.2462139928232
Japan,BriteBite Toothbrush,May2024,1119.7258729455316
Japan,BriteBite Toothbrush,Jun2024,1125.20553189824
Japan,BriteBite Toothbrush,Jul2024,1130.6851908509484
Japan,BriteBite Toothbrush,Aug2024,1136.1648498036568
Japan,BriteBite Toothbrush,Sep2024,1141.6445087563654
Japan,BriteBite Toothbrush,Oct2024,1147.1241677090738
Japan,BriteBite Toothbrush,Nov2024,1152.6038266617823
Japan,BriteBite Toothbrush,Dec2024,1158.0834856144907
Japan,LuminousLip Care,Jan2024,-359.82352070042793
Japan,LuminousLip Care,Feb2024,-367.9656246066554
Japan,LuminousLip Care,Mar2024,-376.1077285128831
Japan,LuminousLip Care,Apr2024,-384.2498324191106
Japan,LuminousLip Care,May2024,-392.3919363253383
Japan,LuminousLip Care,Jun2024,-400.534040231566
Japan,LuminousLip Care,Jul2024,-408.6761441377935
Japan,LuminousLip Care,Aug2024,-416.8182480440212
Japan,LuminousLip Care,Sep2024,-424.9603519502489
Japan,LuminousLip Care,Oct2024,-433.10245585647635
Japan,LuminousLip Care,Nov2024,-441.24455976270406
Japan,LuminousLip Care,Dec2024,-449.38666366893176
Japan,CleanSlate Mouthwash,Jan2024,0.0
Japan,CleanSlate Mouthwash,Feb2024,0.0
Japan,CleanSlate Mouthwash,Mar2024,0.0
Japan,CleanSlate Mouthwash,Apr2024,0.0
Japan,CleanSlate Mouthwash,May2024,0.0
Japan,CleanSlate Mouthwash,Jun2024,0.0
Japan,CleanSlate Mouthwash,Jul2024,0.0
Japan,CleanSlate Mouthwash,Aug2024,0.0
Japan,CleanSlate Mouthwash,Sep2024,0.0
Japan,CleanSlate Mouthwash,Oct2024,0.0
Japan,CleanSlate Mouthwash,Nov2024,0.0
Japan,CleanSlate Mouthwash,Dec2024,0.0
Japan,OralEase Gel,Jan2024,2098.8877721145864
Japan,OralEase Gel,Feb2024,2107.1196900021205
Japan,OralEase Gel,Mar2024,2115.3516078896555
Japan,OralEase Gel,Apr2024,2123.5835257771896
Japan,OralEase Gel,May2024,2131.8154436647246
Japan,OralEase Gel,Jun2024,2140.0473615522587
Japan,OralEase Gel,Jul2024,2148.2792794397938
Japan,OralEase Gel,Aug2024,2156.5111973273283
Japan,OralEase Gel,Sep2024,2164.743115214863
Japan,OralEase Gel,Oct2024,2172.975033102398
Japan,OralEase Gel,Nov2024,2181.206950989932
Japan,OralEase Gel,Dec2024,2189.438868877467
Japan,BreathBliss Mints,Jan2024,0.0
Japan,BreathBliss Mints,Feb2024,0.0
Japan,BreathBliss Mints,Mar2024,0.0
Japan,BreathBliss Mints,Apr2024,0.0
Japan,BreathBliss Mints,May2024,0.0
Japan,BreathBliss Mints,Jun2024,0.0
Japan,BreathBliss Mints,Jul2024,0.0
Japan,BreathBliss Mints,Aug2024,0.0
Japan,BreathBliss Mints,Sep2024,0.0
Japan,BreathBliss Mints,Oct2024,0.0
Japan,BreathBliss Mints,Nov2024,0.0
Japan,BreathBliss Mints,Dec2024,0.0
Japan,DentalDefense Toothpaste,Jan2024,716.8210915768865
Japan,DentalDefense Toothpaste,Feb2024,717.5189498748966
Japan,DentalDefense Toothpaste,Mar2024,718.2168081729068
Japan,DentalDefense Toothpaste,Apr2024,718.9146664709169
Japan,DentalDefense Toothpaste,May2024,719.612524768927
Japan,DentalDefense Toothpaste,Jun2024,720.3103830669371
Japan,DentalDefense Toothpaste,Jul2024,721.0082413649473
Japan,DentalDefense Toothpaste,Aug2024,721.7060996629573
Japan,DentalDefense Toothpaste,Sep2024,722.4039579609675
Japan,DentalDefense Toothpaste,Oct2024,723.1018162589776
Japan,DentalDefense Toothpaste,Nov2024,723.7996745569877
Japan,DentalDefense Toothpaste,Dec2024,724.4975328549979
Japan,SparklingSmile Water Flosser,Jan2024,0.0
Japan,SparklingSmile Water Flosser,Feb2024,0.0
Japan,SparklingSmile Water Flosser,Mar2024,0.0
Japan,SparklingSmile Water Flosser,Apr2024,0.0
Japan,SparklingSmile Water Flosser,May2024,0.0
Japan,SparklingSmile Water Flosser,Jun2024,0.0
Japan,SparklingSmile Water Flosser,Jul2024,0.0
Japan,SparklingSmile Water Flosser,Aug2024,0.0
Japan,SparklingSmile Water Flosser,Sep2024,0.0
Japan,SparklingSmile Water Flosser,Oct2024,0.0
Japan,SparklingSmile Water Flosser,Nov2024,0.0
Japan,SparklingSmile Water Flosser,Dec2024,0.0
Japan,FreshFusion Mouth Rinse,Jan2024,531.7551167221218
Japan,FreshFusion Mouth Rinse,Feb2024,534.5059199037715
Japan,FreshFusion Mouth Rinse,Mar2024,537.2567230854212
Japan,FreshFusion Mouth Rinse,Apr2024,540.0075262670708
Japan,FreshFusion Mouth Rinse,May2024,542.7583294487206
Japan,FreshFusion Mouth Rinse,Jun2024,545.5091326303702
Japan,FreshFusion Mouth Rinse,Jul2024,548.25993581202
Japan,FreshFusion Mouth Rinse,Aug2024,551.0107389936696
Japan,FreshFusion Mouth Rinse,Sep2024,553.7615421753194
Japan,FreshFusion Mouth Rinse,Oct2024,556.512345356969
Japan,FreshFusion Mouth Rinse,Nov2024,559.2631485386188
Japan,FreshFusion Mouth Rinse,Dec2024,562.0139517202684
Japan,SmileSavvy Tooth Whitening Kit,Jan2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Feb2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Mar2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Apr2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,May2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Jun2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Jul2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Aug2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Sep2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Oct2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Nov2024,0.0
Japan,SmileSavvy Tooth Whitening Kit,Dec2024,0.0
