Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,0
Japan,MorningMint,Feb2024,0
Japan,MorningMint,Mar2024,0
Japan,MorningMint,Apr2024,0
Japan,MorningMint,May2024,0
Japan,MorningMint,Jun2024,0
Japan,MorningMint,Jul2024,0
Japan,MorningMint,Aug2024,0
Japan,MorningMint,Sep2024,0
Japan,MorningMint,Oct2024,0
Japan,MorningMint,Nov2024,0
Japan,MorningMint,Dec2024,0
Japan,FreshStart Toothpaste,Jan2024,1394
Japan,FreshStart Toothpaste,Feb2024,1401
Japan,FreshStart Toothpaste,Mar2024,1386
Japan,FreshStart Toothpaste,Apr2024,1425
Japan,FreshStart Toothpaste,May2024,1334
Japan,FreshStart Toothpaste,Jun2024,1329
Japan,FreshStart Toothpaste,Jul2024,1352
Japan,FreshStart Toothpaste,Aug2024,1409
Japan,FreshStart Toothpaste,Sep2024,1386
Japan,FreshStart Toothpaste,Oct2024,1345
Japan,FreshStart Toothpaste,Nov2024,1401
Japan,FreshStart Toothpaste,Dec2024,1365
Japan,SmileShield Whitening Strips,Jan2024,0
Japan,SmileShield Whitening Strips,Feb2024,0
Japan,SmileShield Whitening Strips,Mar2024,0
Japan,SmileShield Whitening Strips,Apr2024,0
Japan,SmileShield Whitening Strips,May2024,0
Japan,SmileShield Whitening Strips,Jun2024,0
Japan,SmileShield Whitening Strips,Jul2024,0
Japan,SmileShield Whitening Strips,Aug2024,0
Japan,SmileShield Whitening Strips,Sep2024,0
Japan,SmileShield Whitening Strips,Oct2024,0
Japan,SmileShield Whitening Strips,Nov2024,0
Japan,SmileShield Whitening Strips,Dec2024,0
Japan,BriteBite Toothbrush,Jan2024,864
Japan,BriteBite Toothbrush,Feb2024,890
Japan,BriteBite Toothbrush,Mar2024,862
Japan,BriteBite Toothbrush,Apr2024,864
Japan,BriteBite Toothbrush,May2024,885
Japan,BriteBite Toothbrush,Jun2024,880
Japan,BriteBite Toothbrush,Jul2024,884
Japan,BriteBite Toothbrush,Aug2024,872
Japan,BriteBite Toothbrush,Sep2024,931
Japan,BriteBite Toothbrush,Oct2024,895
Japan,BriteBite Toothbrush,Nov2024,871
Japan,BriteBite Toothbrush,Dec2024,865
Japan,LuminousLip Care,Jan2024,0
Japan,LuminousLip Care,Feb2024,0
Japan,LuminousLip Care,Mar2024,0
Japan,LuminousLip Care,Apr2024,0
Japan,LuminousLip Care,May2024,0
Japan,LuminousLip Care,Jun2024,0
Japan,LuminousLip Care,Jul2024,0
Japan,LuminousLip Care,Aug2024,0
Japan,LuminousLip Care,Sep2024,0
Japan,LuminousLip Care,Oct2024,0
Japan,LuminousLip Care,Nov2024,0
Japan,LuminousLip Care,Dec2024,0
Japan,CleanSlate Mouthwash,Jan2024,0
Japan,CleanSlate Mouthwash,Feb2024,0
Japan,CleanSlate Mouthwash,Mar2024,0
Japan,CleanSlate Mouthwash,Apr2024,0
Japan,CleanSlate Mouthwash,May2024,0
Japan,CleanSlate Mouthwash,Jun2024,0
Japan,CleanSlate Mouthwash,Jul2024,0
Japan,CleanSlate Mouthwash,Aug2024,0
Japan,CleanSlate Mouthwash,Sep2024,0
Japan,CleanSlate Mouthwash,Oct2024,0
Japan,CleanSlate Mouthwash,Nov2024,0
Japan,CleanSlate Mouthwash,Dec2024,0
Japan,OralEase Gel,Jan2024,1577
Japan,OralEase Gel,Feb2024,1608
Japan,OralEase Gel,Mar2024,1546
Japan,OralEase Gel,Apr2024,1540
Japan,OralEase Gel,May2024,1523
Japan,OralEase Gel,Jun2024,1576
Japan,OralEase Gel,Jul2024,1543
Japan,OralEase Gel,Aug2024,1569
Japan,OralEase Gel,Sep2024,1564
Japan,OralEase Gel,Oct2024,1603
Japan,OralEase Gel,Nov2024,1550
Japan,OralEase Gel,Dec2024,1552
Japan,BreathBliss Mints,Jan2024,0
Japan,BreathBliss Mints,Feb2024,0
Japan,BreathBliss Mints,Mar2024,0
Japan,BreathBliss Mints,Apr2024,0
Japan,BreathBliss Mints,May2024,0
Japan,BreathBliss Mints,Jun2024,0
Japan,BreathBliss Mints,Jul2024,0
Japan,BreathBliss Mints,Aug2024,0
Japan,BreathBliss Mints,Sep2024,0
Japan,BreathBliss Mints,Oct2024,0
