Country,Product,Month,Quantity
Japan,MorningMint,Jan2024,0
Japan,MorningMint,Feb2024,0
Japan,MorningMint,Mar2024,0
Japan,MorningMint,Apr2024,0
Japan,MorningMint,May2024,0
Japan,MorningMint,Jun2024,0
Japan,MorningMint,Jul2024,0
Japan,MorningMint,Aug2024,0
Japan,MorningMint,Sep2024,0
Japan,MorningMint,Oct2024,0
Japan,MorningMint,Nov2024,0
Japan,MorningMint,Dec2024,0
Japan,FreshStart Toothpaste,Jan2024,1391
Japan,FreshStart Toothpaste,Feb2024,1387
Japan,FreshStart Toothpaste,Mar2024,1394
Japan,FreshStart Toothpaste,Apr2024,1421
Japan,FreshStart Toothpaste,May2024,1324
Japan,FreshStart Toothpaste,Jun2024,1304
Japan,FreshStart Toothpaste,Jul2024,1324
Japan,FreshStart Toothpaste,Aug2024,1391
Japan,FreshStart Toothpaste,Sep2024,1356
Japan,FreshStart Toothpaste,Oct2024,1336
Japan,FreshStart Toothpaste,Nov2024,1386
Japan,FreshStart Toothpaste,Dec2024,1370
Japan,SmileShield Whitening Strips,Jan2024,0
Japan,SmileShield Whitening Strips,Feb2024,0
Japan,SmileShield Whitening Strips,Mar2024,0
Japan,SmileShield Whitening Strips,Apr2024,0
Japan,SmileShield Whitening Strips,May2024,0
Japan,SmileShield Whitening Strips,Jun2024,0
Japan,SmileShield Whitening Strips,Jul2024,0
Japan,SmileShield Whitening Strips,Aug2024,0
Japan,SmileShield Whitening Strips,Sep2024,0
Japan,SmileShield Whitening Strips,Oct2024,0
Japan,SmileShield Whitening Strips,Nov2024,0
Japan,SmileShield Whitening Strips,Dec2024,0
Japan,BriteBite Toothbrush,Jan2024,857
Japan,BriteBite Toothbrush,Feb2024,883
Japan,BriteBite Toothbrush,Mar2024,861
Japan,BriteBite Toothbrush,Apr2024,863
Japan,BriteBite Toothbrush,May2024,876
Japan,BriteBite Toothbrush,Jun2024,876
Japan,BriteBite Toothbrush,Jul2024,873
Japan,BriteBite Toothbrush,Aug2024,868
Japan,BriteBite Toothbrush,Sep2024,927
Japan,BriteBite Toothbrush,Oct2024,900
Japan,BriteBite Toothbrush,Nov2024,853
Japan,BriteBite Toothbrush,Dec2024,851
Japan,LuminousLip Care,Jan2024,0
Japan,LuminousLip Care,Feb2024,0
Japan,LuminousLip Care,Mar2024,0
Japan,LuminousLip Care,Apr2024,0
Japan,LuminousLip Care,May2024,0
Japan,LuminousLip Care,Jun2024,0
Japan,LuminousLip Care,Jul2024,0
Japan,LuminousLip Care,Aug2024,0
Japan,LuminousLip Care,Sep2024,0
Japan,LuminousLip Care,Oct2024,0
Japan,LuminousLip Care,Nov2024,0
Japan,LuminousLip Care,Dec2024,0
Japan,CleanSlate Mouthwash,Jan2024,0
Japan,CleanSlate Mouthwash,Feb2024,0
Japan,CleanSlate Mouthwash,Mar2024,0
Japan,CleanSlate Mouthwash,Apr2024,0
Japan,CleanSlate Mouthwash,May2024,0
Japan,CleanSlate Mouthwash,Jun2024,0
Japan,CleanSlate Mouthwash,Jul2024,0
Japan,CleanSlate Mouthwash,Aug2024,0
Japan,CleanSlate Mouthwash,Sep2024,0
Japan,CleanSlate Mouthwash,Oct2024,0
Japan,CleanSlate Mouthwash,Nov2024,0
Japan,CleanSlate Mouthwash,Dec2024,0
Japan,OralEase Gel,Jan2024,1560
Japan,OralEase Gel,Feb2024,1615
Japan,OralEase Gel,Mar2024,1539
Japan,OralEase Gel,Apr2024,1564
Japan,OralEase Gel,May2024,1529
Japan,OralEase Gel,Jun2024,1609
Japan,OralEase Gel,Jul2024,1535
Japan,OralEase Gel,Aug2024,1559
Japan,OralEase Gel,Sep2024,1590
Japan,OralEase Gel,Oct2024,1600
Japan,OralEase Gel,Nov2024,1583
Japan,OralEase Gel,Dec2024,1566
Japan,BreathBliss Mints,Jan2024,0
Japan,BreathBliss Mints,Feb2024,0
Japan,BreathBliss Mints,Mar2024,0
Japan,BreathBliss Mints,Apr2024,0
Japan,BreathBliss Mints,May2024,0
Japan,BreathBliss Mints,Jun2024,0
Japan,BreathBliss Mints,Jul2024,0
Japan,BreathBliss Mints,Aug2024,0
Japan,BreathBliss Mints,Sep2024,0
Japan,BreathBliss Mints,Oct2024,0
