"","Country","Product","Month","Quantity"
"1","Australia","BreatheEasy Inhalant","Apr2004",1957
"2","Australia","BriteBite Toothbrush","Apr2004",1016
"3","Australia","CalmingClean Bath Time Wash","Apr2004",1138
"4","Australia","CalmingClean Diaper Rash Cream","Apr2004",541
"5","Australia","CalmingClean Trash Bags","Apr2004",1658
"6","Australia","CleanSlate Mouthwash","Apr2004",1703
"7","Australia","CleanSlate Stain Remover","Apr2004",1038
"8","Australia","DailyDazzle Toothpaste","Apr2004",713
"9","Australia","EasyWash Laundry Detergent for Babies","Apr2004",1759
"10","Australia","FreshFix Mouthwash","Apr2004",561
"11","Australia","FreshFusion Baby Wipes","Apr2004",649
"12","Australia","FreshFusion Diaper Rash Remedy","Apr2004",545
"13","Australia","FreshFusion Flea and Tick Spray","Apr2004",682
"14","Australia","FreshFusion Hair Mask","Apr2004",1646
"15","Australia","GentleGlow Baby Face Wash","Apr2004",1573
"16","Australia","GentleGlow Face Cleanser","Apr2004",1053
"17","Australia","GentleGlow Face Lotion","Apr2004",1885
"18","Australia","GentleGlow Pet Grooming Kit","Apr2004",557
"19","Australia","HydraHydrate Hand Cream","Apr2004",1778
"20","Australia","HydratingHoney Pet Wipes","Apr2004",943
"21","Australia","LittleLullaby Diaper Cream","Apr2004",1265
"22","Australia","LittleLullaby Diaper Liners","Apr2004",644
"23","Australia","MorningMint","Apr2004",1445
"24","Australia","MorningMist Deodorant","Apr2004",2950
"25","Australia","PurePore Baby Skincare Set","Apr2004",2140
"26","Australia","PurePore Sanitary Belt","Apr2004",1172
"27","Australia","PurePore Toner","Apr2004",2516
"28","Australia","Purezza Body Wash","Apr2004",1926
"29","Australia","RadiantRose Baby Massage Oil","Apr2004",3013
"30","Australia","RadiantRose Face Mask","Apr2004",2323
"31","Australia","RadiantRose Glass Cleaner","Apr2004",723
"32","Australia","RadiantRover Pet Conditioner","Apr2004",3430
"33","Australia","Refreshing Rose Body Oil","Apr2004",2440
"34","Australia","SilkSmooth Conditioner","Apr2004",1681
"35","Australia","SilkSmooth Exfoliating Scrub","Apr2004",1424
"36","Australia","SilkySkin Baby Cream","Apr2004",2863
"37","Australia","SilkySkin Baby Moisturizer","Apr2004",2116
"38","Australia","SmellSational Baby Room Spray","Apr2004",2590
"39","Australia","SmellSational Odor Eliminator","Apr2004",1436
"40","Australia","SmileShield Whitening Strips","Apr2004",3312
"41","Australia","SoftStep Baby Shampoo","Apr2004",1986
"42","Australia","SoothingSerenity Air Freshener","Apr2004",2808
"43","Australia","SoothingSerenity Baby Rub","Apr2004",2241
"44","Australia","SoothingSoft Fabric Softener","Apr2004",3031
"45","Australia","SparklingGlow Toothpaste","Apr2004",3313
"46","Brazil","BreathBliss Mints","Apr2004",1440
"47","Brazil","BreatheEasy Inhalant","Apr2004",743
"48","Brazil","BrightBreeze Baby Sunscreen Stick","Apr2004",1422
"49","Brazil","BrightBreeze Insect Repellent","Apr2004",1448
"50","Brazil","BrightBreeze Period Pain Relief","Apr2004",566
"51","Brazil","BrightBreeze Whitening Booster","Apr2004",904
"52","Brazil","BrightBreeze Window Cleaner","Apr2004",1866
"53","Brazil","Brightening Body Wash","Apr2004",1691
"54","Brazil","BriteBite Toothbrush","Apr2004",729
"55","Brazil","Calming Creme Relaxant Bath","Apr2004",859
"56","Brazil","CalmingClean Bath Time Wash","Apr2004",890
"57","Brazil","CalmingClean Diaper Rash Cream","Apr2004",1727
"58","Brazil","CalmingClean Dog Brush","Apr2004",1294
"59","Brazil","CalmingClean Trash Bags","Apr2004",1061
"60","Brazil","CleanSlate Disinfectant Spray","Apr2004",2005
"61","Brazil","CleanSlate Feminine Deodorant","Apr2004",1224
"62","Brazil","CleanSlate Mouthwash","Apr2004",1246
"63","Brazil","DailyDazzle Toothpaste","Apr2004",1768
"64","Brazil","DentalDefense Toothpaste","Apr2004",671
"65","Brazil","EasyWash Laundry Detergent","Apr2004",1041
"66","Brazil","EasyWash Laundry Detergent for Delicates","Apr2004",1302
"67","Brazil","EasyWash Pet Laundry Detergent","Apr2004",688
"68","Brazil","FreshFold Fabric Refresher","Apr2004",684
"69","Brazil","FreshFusion Detergent","Apr2004",1360
"70","Brazil","FreshFusion Diaper Rash Remedy","Apr2004",592
"71","Brazil","FreshFusion Flea and Tick Spray","Apr2004",1477
"72","Brazil","FreshFusion Hair Mask","Apr2004",1275
"73","Brazil","FreshFusion Mouth Rinse","Apr2004",962
"74","Brazil","FreshStart Toothpaste","Apr2004",1813
"75","Brazil","GentleGlow Baby Face Wash","Apr2004",1133
"76","Brazil","GentleGlow Dish Soap","Apr2004",1548
"77","Brazil","GentleGlow Face Cleanser","Apr2004",1018
"78","Brazil","GentleGlow Face Lotion","Apr2004",860
"79","Brazil","GentleGlow Pet Grooming Kit","Apr2004",627
"80","Brazil","Hydrating Honey Body Lotion","Apr2004",1056
"81","Brazil","LittleLullaby Diaper Cream","Apr2004",929
"82","Brazil","LittleLullaby Diaper Liners","Apr2004",1804
"83","Brazil","MorningBreeze Gum Care","Apr2004",1214
"84","Brazil","MorningMint","Apr2004",966
"85","Brazil","MorningMist Deodorant","Apr2004",1363
"86","Brazil","OralEase Plus Toothbrush","Apr2004",1296
"87","Brazil","PurePaw Dog Shampoo","Apr2004",1904
"88","Brazil","PurePore Baby Lotion","Apr2004",733
"89","Brazil","PurePore Baby Skincare Set","Apr2004",489
"90","Brazil","PurePore Insect Repellent Spray","Apr2004",1759
"91","Brazil","PurePore Sanitary Belt","Apr2004",1502
"92","Brazil","PurePore Toner","Apr2004",816
"93","Brazil","Purezza Body Wash","Apr2004",1303
"94","Brazil","RadiantRinse Color Protector","Apr2004",769
"95","Brazil","RadiantRose Face Mask","Apr2004",949
"96","Brazil","RadiantRose Glass Cleaner","Apr2004",963
"97","Brazil","RadiantRose Hair Serum","Apr2004",1400
"98","Brazil","RadiantRover Pet Conditioner","Apr2004",859
"99","Brazil","SilkSmooth Exfoliating Scrub","Apr2004",1603
"100","Brazil","SilkySkin Baby Moisturizer","Apr2004",1168
"101","Brazil","SmellSational Baby Room Spray","Apr2004",925
"102","Brazil","SmellSational Intimate Spray","Apr2004",1634
"103","Brazil","SmileSavvy Tooth Whitening Kit","Apr2004",1395
"104","Brazil","SmilesSoPure Waterpik","Apr2004",2036
"105","Brazil","SmoothOperator Shaving Gel","Apr2004",571
"106","Brazil","SoftStep Baby Shampoo","Apr2004",1352
"107","Brazil","SoftStep Shaving Cream","Apr2004",1454
"108","Brazil","SoothingPaws Cat Lotion","Apr2004",994
"109","Brazil","SoothingSerenity Air Freshener","Apr2004",1757
"110","Brazil","SoothingSerenity Humidifier","Apr2004",1630
"111","Brazil","SoothingSoft Fabric Softener","Apr2004",1822
"112","Brazil","SparklingClean All-Purpose Cleaner","Apr2004",604
"113","Brazil","SparklingGlow Toothpaste","Apr2004",1464
"114","Brazil","SparklingSmile Water Flosser","Apr2004",1670
"115","Brazil","SunShield SPF 50 Lotion","Apr2004",1488
"116","Egypt","BreatheEasy Inhalant","Apr2004",1828
"117","Egypt","BrightBreeze Insect Repellent","Apr2004",1096
"118","Egypt","BrightBreeze Period Pain Relief","Apr2004",1636
"119","Egypt","BrightBreeze Pet Odor Eliminator","Apr2004",537
"120","Egypt","CalmingClean Bath Time Wash","Apr2004",637
"121","Egypt","CalmingClean Dog Brush","Apr2004",1848
"122","Egypt","CleanSlate Stain Remover","Apr2004",1213
"123","Egypt","DentalDefense Toothpaste","Apr2004",796
"124","Egypt","EasyWash Laundry Detergent for Babies","Apr2004",1580
"125","Egypt","EasyWash Laundry Detergent for Delicates","Apr2004",752
"126","Egypt","Exfoliating Essentials Scrub","Apr2004",1186
"127","Egypt","FreshFusion All-Purpose Cleaner","Apr2004",314
"128","Egypt","FreshFusion Detergent","Apr2004",1399
"129","Egypt","FreshFusion Diaper Rash Remedy","Apr2004",1789
"130","Egypt","FreshStart Toothpaste","Apr2004",1255
"131","Egypt","GentleGlow Face Lotion","Apr2004",949
"132","Egypt","HydraHydrate Hand Cream","Apr2004",883
"133","Egypt","Hydrating Honey Body Lotion","Apr2004",945
"134","Egypt","LittleLullaby Diaper Liners","Apr2004",740
"135","Egypt","MorningBreeze Gum Care","Apr2004",1250
"136","Egypt","OralEase Plus Toothbrush","Apr2004",1433
"137","Egypt","PurePore Insect Repellent Spray","Apr2004",2382
"138","Egypt","PurePore Toner","Apr2004",2471
"139","Egypt","Purezza Body Wash","Apr2004",1797
"140","Egypt","RadiantRose Glass Cleaner","Apr2004",1932
"141","Egypt","Refreshing Rose Body Oil","Apr2004",2298
"142","Egypt","SilkSmooth Conditioner","Apr2004",1692
"143","Egypt","SoftStep Shaving Cream","Apr2004",2692
"144","Egypt","SoothingSerenity Air Freshener","Apr2004",2718
"145","Egypt","SoothingSerenity Baby Rub","Apr2004",2187
"146","Egypt","SoothingSerenity Hand Sanitizer","Apr2004",3495
"147","Egypt","SoothingSerenity Humidifier","Apr2004",494
"148","France","BreathBliss Mints","Apr2004",1489
"149","France","BrightBreeze Baby Sunscreen Stick","Apr2004",1371
"150","France","BrightBreeze Insect Repellent","Apr2004",896
"151","France","BrightBreeze Period Pain Relief","Apr2004",1606
"152","France","BrightBreeze Pet Odor Eliminator","Apr2004",432
"153","France","BrightBreeze Whitening Booster","Apr2004",603
"154","France","BrightBreeze Window Cleaner","Apr2004",530
"155","France","BriteBite Toothbrush","Apr2004",1517
"156","France","Calming Creme Relaxant Bath","Apr2004",845
"157","France","CalmingClean Bath Time Wash","Apr2004",492
"158","France","CalmingClean Diaper Rash Cream","Apr2004",1788
"159","France","CalmingClean Dog Brush","Apr2004",1039
"160","France","CalmingClean Trash Bags","Apr2004",713
"161","France","CleanSkin Acne Treatment","Apr2004",1727
"162","France","CleanSlate Mouthwash","Apr2004",1594
"163","France","CleanSlate Stain Remover","Apr2004",1526
"164","France","CleanSmile Floss Picks","Apr2004",1247
"165","France","DailyDazzle Toothpaste","Apr2004",1087
"166","France","DentalDefense Toothpaste","Apr2004",846
"167","France","EasyWash Laundry Detergent","Apr2004",1230
"168","France","EasyWash Laundry Detergent for Babies","Apr2004",786
"169","France","EasyWash Laundry Detergent for Delicates","Apr2004",965
"170","France","EasyWash Pet Laundry Detergent","Apr2004",592
"171","France","Exfoliating Essentials Scrub","Apr2004",1289
"172","France","FreshFix Mouthwash","Apr2004",1009
"173","France","FreshFold Fabric Refresher","Apr2004",1181
"174","France","FreshFusion All-Purpose Cleaner","Apr2004",1600
"175","India","BrightBreeze Baby Sunscreen Stick","Apr2004",939
"176","India","Brightening Body Wash","Apr2004",1251
"177","India","CalmingClean Diaper Rash Cream","Apr2004",1724
"178","India","CleanSkin Acne Treatment","Apr2004",1682
"179","India","CleanSmile Floss Picks","Apr2004",1661
"180","India","DentalDefense Toothpaste","Apr2004",572
"181","India","EasyWash Laundry Detergent","Apr2004",1359
"182","India","FreshFusion Baby Wipes","Apr2004",1669
"183","India","FreshFusion Diaper Rash Remedy","Apr2004",811
"184","India","FreshFusion Hair Mask","Apr2004",603
"185","India","FreshStart Toothpaste","Apr2004",1523
"186","India","GentleGlow Baby Face Wash","Apr2004",530
"187","India","GentleGlow Face Cleanser","Apr2004",1413
"188","India","Hydrating Honey Body Lotion","Apr2004",1426
"189","India","LuminousLip Care","Apr2004",1708
"190","India","LuminousLocks Shampoo","Apr2004",855
"191","India","MorningBreeze Gum Care","Apr2004",1752
"192","India","MorningMint","Apr2004",553
"193","India","OralEase Plus Toothbrush","Apr2004",886
"194","India","PurePore Baby Lotion","Apr2004",817
"195","India","PurePore Sanitary Belt","Apr2004",1376
"196","India","PurePore Toner","Apr2004",1810
"197","India","Purezza Body Wash","Apr2004",1900
"198","India","RadiantRose Baby Massage Oil","Apr2004",1177
"199","India","RadiantRover Pet Conditioner","Apr2004",577
"200","India","Refreshing Rose Body Oil","Apr2004",818
