"","Origin","Destination","Product","Month","Quantity"
"1","South Africa","France","FreshFusion All-Purpose Cleaner","Apr2004",238
"2","South Africa","France","FreshFusion Detergent","Apr2004",587
"3","South Africa","France","FreshFusion Diaper Rash Remedy","Apr2004",534
"4","South Africa","France","FreshFusion Hair Mask","Apr2004",1698
"5","South Africa","France","FreshFusion Mouth Rinse","Apr2004",659
"6","South Africa","France","FreshStart Toothpaste","Apr2004",1048
"7","South Africa","France","GentleGlow Baby Face Wash","Apr2004",1779
"8","South Africa","France","GentleGlow Baby Sunscreen","Apr2004",1023
"9","South Africa","France","GentleGlow Dish Soap","Apr2004",534
"10","South Africa","France","GentleGlow Face Cleanser","Apr2004",713
"11","South Africa","France","GentleGlow Face Lotion","Apr2004",1380
"12","South Africa","France","GentleGlow Pet Grooming Kit","Apr2004",2026
"13","South Africa","France","HydraHydrate Hand Cream","Apr2004",814
"14","South Africa","France","Hydrating Honey Body Lotion","Apr2004",2141
"15","South Africa","France","LittleLullaby Diaper Cream","Apr2004",1229
"16","South Africa","France","LittleLullaby Diaper Liners","Apr2004",1775
"17","South Africa","France","LuminousLip Care","Apr2004",224
"18","South Africa","France","LuminousLocks Shampoo","Apr2004",563
"19","South Africa","France","MorningBreeze Gum Care","Apr2004",1281
"20","South Africa","France","MorningMist Deodorant","Apr2004",381
"21","South Africa","France","OralEase Gel","Apr2004",927
"22","South Africa","France","OralEase Plus Toothbrush","Apr2004",1471
"23","South Africa","France","PurePaw Dog Shampoo","Apr2004",694
"24","South Africa","France","PurePore Baby Lotion","Apr2004",1154
"25","South Africa","France","PurePore Baby Skincare Set","Apr2004",461
"26","South Africa","France","PurePore Insect Repellent Spray","Apr2004",747
"27","South Africa","France","PurePore Sanitary Belt","Apr2004",1561
"28","South Africa","France","PurePore Toner","Apr2004",1688
"29","South Africa","France","Purezza Body Wash","Apr2004",688
"30","South Africa","France","RadiantRinse Color Protector","Apr2004",1409
"31","South Africa","France","RadiantRose Baby Massage Oil","Apr2004",1354
"32","South Africa","France","RadiantRose Face Mask","Apr2004",1013
"33","South Africa","France","RadiantRose Glass Cleaner","Apr2004",1882
"34","South Africa","France","RadiantRover Pet Conditioner","Apr2004",1724
"35","South Africa","France","Refreshing Rose Body Oil","Apr2004",704
"36","South Africa","France","SilkSmooth Exfoliating Scrub","Apr2004",1930
"37","South Africa","France","SilkySkin Baby Cream","Apr2004",1408
"38","South Africa","France","SilkySkin Baby Moisturizer","Apr2004",430
"39","South Africa","France","SilkySkin Moisturizing Cream","Apr2004",608
"40","South Africa","France","SkinSational Moisturizer","Apr2004",1424
"41","South Africa","France","SmellSational Baby Room Spray","Apr2004",1401
"42","South Africa","France","SmellSational Intimate Spray","Apr2004",1274
"43","South Africa","France","SmellSational Odor Eliminator","Apr2004",246
"44","South Africa","France","SmellSational Pet Deodorizer","Apr2004",1225
"45","South Africa","France","SmileSavvy Tooth Whitening Kit","Apr2004",1241
"46","South Africa","France","SmileShield Whitening Strips","Apr2004",641
"47","South Africa","France","SmilesSoPure Waterpik","Apr2004",201
"48","South Africa","France","SmoothOperator Shaving Gel","Apr2004",611
"49","South Africa","France","SoftStep Baby Shampoo","Apr2004",1887
"50","South Africa","France","SoftStep Shaving Cream","Apr2004",617
"51","South Africa","France","SoftStep Shaving Cream for Women","Apr2004",534
"52","South Africa","France","SoothingPaws Cat Lotion","Apr2004",564
"53","South Africa","France","SoothingSerenity Air Freshener","Apr2004",1670
"54","South Africa","France","SoothingSerenity Baby Oil","Apr2004",2066
"55","South Africa","France","SoothingSerenity Baby Rub","Apr2004",1347
"56","South Africa","France","SoothingSerenity Hand Sanitizer","Apr2004",1516
"57","South Africa","France","SoothingSerenity Scalp Treatment","Apr2004",1036
"58","South Africa","France","SoothingSoft Fabric Softener","Apr2004",715
"59","South Africa","France","SparklingClean All-Purpose Cleaner","Apr2004",267
"60","South Africa","France","SparklingSmile Water Flosser","Apr2004",319
"61","South Africa","France","SunShield SPF 50 Lotion","Apr2004",139
"62","Australia","United Kingdom","MorningBreeze Gum Care","Apr2004",94
"63","Australia","United Kingdom","MorningMint","Apr2004",563
"64","Australia","United Kingdom","MorningMist Deodorant","Apr2004",1471
"65","Australia","United Kingdom","OralEase Gel","Apr2004",1900
"66","Australia","United Kingdom","PurePaw Dog Shampoo","Apr2004",1769
"67","Australia","United Kingdom","PurePore Baby Skincare Set","Apr2004",1409
"68","Australia","United Kingdom","PurePore Insect Repellent Spray","Apr2004",1101
"69","Australia","United Kingdom","PurePore Sanitary Belt","Apr2004",528
"70","Australia","United Kingdom","PurePore Toner","Apr2004",1683
"71","Australia","United Kingdom","Purezza Body Wash","Apr2004",651
"72","Australia","United Kingdom","RadiantRinse Color Protector","Apr2004",1186
"73","Australia","United Kingdom","RadiantRose Baby Massage Oil","Apr2004",1939
"74","Australia","United Kingdom","RadiantRose Face Mask","Apr2004",1720
"75","Australia","United Kingdom","RadiantRose Hair Serum","Apr2004",1760
"76","Australia","United Kingdom","RadiantRover Pet Conditioner","Apr2004",1918
"77","Australia","United Kingdom","Refreshing Rose Body Oil","Apr2004",1742
"78","Australia","United Kingdom","SilkSmooth Conditioner","Apr2004",921
"79","Australia","United Kingdom","SilkSmooth Exfoliating Scrub","Apr2004",640
"80","Australia","United Kingdom","SilkySkin Baby Cream","Apr2004",1039
"81","Australia","United Kingdom","SilkySkin Baby Moisturizer","Apr2004",745
"82","Australia","United Kingdom","SkinSational Moisturizer","Apr2004",562
"83","Australia","United Kingdom","SmellSational Baby Room Spray","Apr2004",806
"84","Australia","United Kingdom","SmellSational Intimate Spray","Apr2004",1960
"85","Australia","United Kingdom","SmellSational Odor Eliminator","Apr2004",840
"86","Australia","United Kingdom","SmellSational Pet Deodorizer","Apr2004",1135
"87","Australia","United Kingdom","SmileSavvy Tooth Whitening Kit","Apr2004",511
"88","Australia","United Kingdom","SmileShield Whitening Strips","Apr2004",1645
"89","Australia","United Kingdom","SmilesSoPure Waterpik","Apr2004",675
"90","Australia","United Kingdom","SmoothOperator Shaving Gel","Apr2004",629
"91","Australia","United Kingdom","SoftStep Baby Shampoo","Apr2004",580
"92","Australia","United Kingdom","SoftStep Shaving Cream","Apr2004",1598
"93","Australia","United Kingdom","SoftStep Shaving Cream for Women","Apr2004",1819
"94","Australia","United Kingdom","SoothingPaws Cat Lotion","Apr2004",640
"95","Australia","United Kingdom","SoothingSerenity Air Freshener","Apr2004",1397
"96","Australia","United Kingdom","SoothingSerenity Baby Oil","Apr2004",226
"97","Australia","United Kingdom","SoothingSerenity Baby Rub","Apr2004",1031
"98","Australia","United Kingdom","SoothingSerenity Hand Sanitizer","Apr2004",513
"99","Australia","United Kingdom","SoothingSerenity Humidifier","Apr2004",778
"100","Australia","United Kingdom","SoothingSerenity Scalp Treatment","Apr2004",1715
"101","Australia","United Kingdom","SoothingSoft Fabric Softener","Apr2004",1151
"102","Australia","United Kingdom","SparklingGlow Toothpaste","Apr2004",1932
"103","Australia","United Kingdom","SparklingSmile Water Flosser","Apr2004",1248
"104","Australia","United Kingdom","SunShield SPF 50 Lotion","Apr2004",636
