Country,Product,Month,Quantity
Japan,MorningMint,Jan2004,0
Japan,MorningMint,Feb2004,0
Japan,MorningMint,Mar2004,0
Japan,MorningMint,Apr2004,0
Japan,MorningMint,May2004,0
Japan,MorningMint,Jun2004,0
Japan,MorningMint,Jul2004,0
Japan,MorningMint,Aug2004,0
Japan,MorningMint,Sep2004,0
Japan,MorningMint,Oct2004,0
Japan,MorningMint,Nov2004,0
Japan,MorningMint,Dec2004,0
Japan,FreshStart Toothpaste,Jan2004,1471
Japan,FreshStart Toothpaste,Feb2004,1547
Japan,FreshStart Toothpaste,Mar2004,1527
Japan,FreshStart Toothpaste,Apr2004,1649
Japan,FreshStart Toothpaste,May2004,1664
Japan,FreshStart Toothpaste,Jun2004,1651
Japan,FreshStart Toothpaste,Jul2004,1484
Japan,FreshStart Toothpaste,Aug2004,1537
Japan,FreshStart Toothpaste,Sep2004,1624
Japan,FreshStart Toothpaste,Oct2004,1567
Japan,FreshStart Toothpaste,Nov2004,1638
Japan,FreshStart Toothpaste,Dec2004,1552
Japan,SmileShield Whitening Strips,Jan2004,670
Japan,SmileShield Whitening Strips,Feb2004,702
Japan,SmileShield Whitening Strips,Mar2004,684
Japan,SmileShield Whitening Strips,Apr2004,691
Japan,SmileShield Whitening Strips,May2004,635
Japan,SmileShield Whitening Strips,Jun2004,634
Japan,SmileShield Whitening Strips,Jul2004,727
Japan,SmileShield Whitening Strips,Aug2004,675
Japan,SmileShield Whitening Strips,Sep2004,661
Japan,SmileShield Whitening Strips,Oct2004,682
Japan,SmileShield Whitening Strips,Nov2004,619
Japan,SmileShield Whitening Strips,Dec2004,612
Japan,BriteBite Toothbrush,Jan2004,0
Japan,BriteBite Toothbrush,Feb2004,0
Japan,BriteBite Toothbrush,Mar2004,0
Japan,BriteBite Toothbrush,Apr2004,0
Japan,BriteBite Toothbrush,May2004,0
Japan,BriteBite Toothbrush,Jun2004,0
Japan,BriteBite Toothbrush,Jul2004,0
Japan,BriteBite Toothbrush,Aug2004,0
Japan,BriteBite Toothbrush,Sep2004,0
Japan,BriteBite Toothbrush,Oct2004,0
Japan,BriteBite Toothbrush,Nov2004,0
Japan,BriteBite Toothbrush,Dec2004,0
Japan,LuminousLip Care,Jan2004,0
Japan,LuminousLip Care,Feb2004,0
Japan,LuminousLip Care,Mar2004,0
Japan,LuminousLip Care,Apr2004,0
Japan,LuminousLip Care,May2004,0
Japan,LuminousLip Care,Jun2004,0
Japan,LuminousLip Care,Jul2004,0
Japan,LuminousLip Care,Aug2004,0
Japan,LuminousLip Care,Sep2004,0
Japan,LuminousLip Care,Oct2004,0
Japan,LuminousLip Care,Nov2004,0
Japan,LuminousLip Care,Dec2004,0
Japan,CleanSlate Mouthwash,Jan2004,514
Japan,CleanSlate Mouthwash,Feb2004,535
Japan,CleanSlate Mouthwash,Mar2004,516
Japan,CleanSlate Mouthwash,Apr2004,506
Japan,CleanSlate Mouthwash,May2004,504
Japan,CleanSlate Mouthwash,Jun2004,557
Japan,CleanSlate Mouthwash,Jul2004,520
Japan,CleanSlate Mouthwash,Aug2004,491
Japan,CleanSlate Mouthwash,Sep2004,519
Japan,CleanSlate Mouthwash,Oct2004,499
Japan,CleanSlate Mouthwash,Nov2004,538
Japan,CleanSlate Mouthwash,Dec2004,527
Japan,OralEase Gel,Jan2004,1399
Japan,OralEase Gel,Feb2004,1701
Japan,OralEase Gel,Mar2004,1657
Japan,OralEase Gel,Apr2004,1697
Japan,OralEase Gel,May2004,1601
Japan,OralEase Gel,Jun2004,1573
Japan,OralEase Gel,Jul2004,1585
Japan,OralEase Gel,Aug2004,1660
Japan,OralEase Gel,Sep2004,1676
Japan,OralEase Gel,Oct2004,1568
Japan,OralEase Gel,Nov2004,1476
Japan,OralEase Gel,Dec2004,1656
Japan,BreathBliss Mints,Jan2004,1940
Japan,BreathBliss Mints,Feb2004,1925
Japan,BreathBliss Mints,Mar2004,1784
Japan,BreathBliss Mints,Apr2004,1964
Japan,BreathBliss Mints,May2004,1957
Japan,BreathBliss Mints,Jun2004,1870
Japan,BreathBliss Mints,Jul2004,2105
Japan,BreathBliss Mints,Aug2004,1912
Japan,BreathBliss Mints,Sep2004,2077
Japan,BreathBliss Mints,Oct2004,1801
Japan,BreathBliss Mints,Nov2004,1862
Japan,BreathBliss Mints,Dec2004,2054
Japan,DentalDefense Toothpaste,Jan2004,0
Japan,DentalDefense Toothpaste,Feb2004,0
Japan,DentalDefense Toothpaste,Mar2004,0
Japan,DentalDefense Toothpaste,Apr2004,0
Japan,DentalDefense Toothpaste,May2004,0
Japan,DentalDefense Toothpaste,Jun2004,0
Japan,DentalDefense Toothpaste,Jul2004,0
Japan,DentalDefense Toothpaste,Aug2004,0
Japan,DentalDefense Toothpaste,Sep2004,0
Japan,DentalDefense Toothpaste,Oct2004,0
Japan,DentalDefense Toothpaste,Nov2004,0
Japan,DentalDefense Toothpaste,Dec2004,0
Japan,SparklingSmile Water Flosser,Jan2004,0
Japan,SparklingSmile Water Flosser,Feb2004,0
Japan,SparklingSmile Water Flosser,Mar2004,0
Japan,SparklingSmile Water Flosser,Apr2004,0
Japan,SparklingSmile Water Flosser,May2004,0
Japan,SparklingSmile Water Flosser,Jun2004,0
Japan,SparklingSmile Water Flosser,Jul2004,0
Japan,SparklingSmile Water Flosser,Aug2004,0
Japan,SparklingSmile Water Flosser,Sep2004,0
Japan,SparklingSmile Water Flosser,Oct2004,0
Japan,SparklingSmile Water Flosser,Nov2004,0
Japan,SparklingSmile Water Flosser,Dec2004,0
Japan,FreshFusion Mouth Rinse,Jan2004,0
Japan,FreshFusion Mouth Rinse,Feb2004,0
Japan,FreshFusion Mouth Rinse,Mar2004,0
Japan,FreshFusion Mouth Rinse,Apr2004,0
Japan,FreshFusion Mouth Rinse,May2004,0
Japan,FreshFusion Mouth Rinse,Jun2004,0
Japan,FreshFusion Mouth Rinse,Jul2004,0
Japan,FreshFusion Mouth Rinse,Aug2004,0
Japan,FreshFusion Mouth Rinse,Sep2004,0
Japan,FreshFusion Mouth Rinse,Oct2004,0
Japan,FreshFusion Mouth Rinse,Nov2004,0
Japan,FreshFusion Mouth Rinse,Dec2004,0
Japan,SmileSavvy Tooth Whitening Kit,Jan2004,0
Japan,SmileSavvy Tooth Whitening Kit,Feb2004,0
Japan,SmileSavvy Tooth Whitening Kit,Mar2004,0
Japan,SmileSavvy Tooth Whitening Kit,Apr2004,0
Japan,SmileSavvy Tooth Whitening Kit,May2004,0
Japan,SmileSavvy Tooth Whitening Kit,Jun2004,0
Japan,SmileSavvy Tooth Whitening Kit,Jul2004,0
Japan,SmileSavvy Tooth Whitening Kit,Aug2004,0
Japan,SmileSavvy Tooth Whitening Kit,Sep2004,0
Japan,SmileSavvy Tooth Whitening Kit,Oct2004,0
Japan,SmileSavvy Tooth Whitening Kit,Nov2004,0
Japan,SmileSavvy Tooth Whitening Kit,Dec2004,0
Japan,DailyDazzle Toothpaste,Jan2004,0
Japan,DailyDazzle Toothpaste,Feb2004,0
Japan,DailyDazzle Toothpaste,Mar2004,0
Japan,DailyDazzle Toothpaste,Apr2004,0
Japan,DailyDazzle Toothpaste,May2004,0
Japan,DailyDazzle Toothpaste,Jun2004,0
Japan,DailyDazzle Toothpaste,Jul2004,0
Japan,DailyDazzle Toothpaste,Aug2004,0
Japan,DailyDazzle Toothpaste,Sep2004,0
Japan,DailyDazzle Toothpaste,Oct2004,0
Japan,DailyDazzle Toothpaste,Nov2004,0
Japan,DailyDazzle Toothpaste,Dec2004,0
Japan,MorningBreeze Gum Care,Jan2004,0
Japan,MorningBreeze Gum Care,Feb2004,0
Japan,MorningBreeze Gum Care,Mar2004,0
Japan,MorningBreeze Gum Care,Apr2004,0
Japan,MorningBreeze Gum Care,May2004,0
Japan,MorningBreeze Gum Care,Jun2004,0
Japan,MorningBreeze Gum Care,Jul2004,0
Japan,MorningBreeze Gum Care,Aug2004,0
Japan,MorningBreeze Gum Care,Sep2004,0
Japan,MorningBreeze Gum Care,Oct2004,0
Japan,MorningBreeze Gum Care,Nov2004,0
Japan,MorningBreeze Gum Care,Dec2004,0
Japan,OralEase Plus Toothbrush,Jan2004,555
Japan,OralEase Plus Toothbrush,Feb2004,588
Japan,OralEase Plus Toothbrush,Mar2004,586
Japan,OralEase Plus Toothbrush,Apr2004,596
Japan,OralEase Plus Toothbrush,May2004,576
